# Created by:        SpecsLab Prodigy, Version 4.112.1-r117979 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Kinetic Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       no
#   Separate Channel Data:    no
#   External Channel Data:    no
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        no
#   Time Zone Format:         UTC
#
# Group:                        Gamma
#
# Region:                       WAM_110_4eV
# Spectrum ID:                  4
# Acquisition Date:             06/17/24 12:13:43 UTC
# Analysis Method:              UPS
# Analyzer Lens:                WideAngleMode:400V
# Analyzer Slit:                1:0.2x20\B:open
# Scan Mode:                    SnapshotFAT
# Scan Variable:                Kinetic Energy
# Curves/Scan:                  82
# Values/Curve:                 1
# Dwell Time:                   1
# Excitation Energy:            21.2182
# Kinetic Energy:               17.9405
# Pass Energy:                  20
# Bias Voltage:                 0
# Detector Voltage:             1450
# Eff. Workfunction:            4.3
# Source:                       UVS
# Comment:                      
# OrdinateRange:                [-11.682692, 11.971154]

# Cycle: 0
#
# Number of Scans: 300

# Cycle: 0, Curve: 0
#
# NonEnergyOrdinate:            -11.5385
# Acquisition Date:             06/17/24 12:13:43 UTC
# ColumnLabels:                 energy counts/s
#
# NonEnergyOrdinate:            -10.6731
# Acquisition Date:             06/17/24 12:13:43 UTC
# ColumnLabels:                 energy counts/s
#
16.7182  109.15212
16.734229  107.65321
16.750258  106.67034
16.766287  107.96098
16.782316  107.66236
16.798345  107.56031
16.814375  107.53036
16.830404  107.20332
16.846433  106.48862
16.862462  106.6479
16.878491  106.28698
16.89452  105.60149
16.910549  105.11164
16.926578  105.288
16.942607  104.81932
16.958636  104.11965
16.974665  104.2249
16.990695  103.48815
17.006724  102.58237
17.022753  101.43628
17.038782  100.45046
17.054811  100.35171
17.07084  100.23111
17.086869  99.203548
17.102898  99.050996
17.118927  98.759622
17.134956  96.714544
17.150985  95.243171
17.167014  97.676634
17.183044  96.776973
17.199073  95.978405
17.215102  95.149551
17.231131  94.996706
17.24716  94.462591
17.263189  93.977305
17.279218  93.91278
17.295247  93.334727
17.311276  93.100462
17.327305  92.911204
17.343334  93.238984
17.359364  92.538132
17.375393  92.549564
17.391422  91.922663
17.407451  91.936556
17.42348  92.841745
17.439509  92.987585
17.455538  92.264785
17.471567  92.658945
17.487596  93.918867
17.503625  92.801595
17.519654  92.863047
17.535684  93.477819
17.551713  93.848118
17.567742  94.726484
17.58377  94.00321
17.599792  93.635957
17.615816  94.622324
17.631844  95.551152
17.647865  95.131257
17.663892  95.238685
17.679917  96.103893
17.695939  95.910612
17.711967  96.130202
17.727989  96.262943
17.744014  95.687188
17.76004  95.989785
17.776062  95.796484
17.79209  96.229238
17.808113  95.502786
17.824137  95.567773
17.840164  95.40694
17.856186  95.263236
17.872212  95.691712
17.888237  96.411302
17.90426  96.473099
17.920287  96.340794
17.93631  96.643698
17.952334  95.761432
17.968362  96.778607
17.984386  96.925872
18.00041  97.364889
18.016436  97.650078
18.032461  98.207656
18.048485  98.400547
18.06451  98.403092
18.080534  98.843828
18.096559  100.01615
18.112584  98.883665
18.128609  99.816712
18.144634  100.00757
18.160658  101.0288
18.176683  100.58756
18.192708  100.51283
18.208733  101.54557
18.224758  101.62072
18.240782  102.00782
18.256808  102.03732
18.272832  102.24635
18.288857  102.44469
18.304881  101.91555
18.320906  102.67337
18.336931  102.93247
18.352956  103.75117
18.368981  103.89044
18.385005  103.94059
18.40103  103.70866
18.417055  104.78227
18.43308  105.37335
18.449105  106.53189
18.465129  105.89916
18.481154  105.53098
18.497179  105.40091
18.513204  106.4634
18.529229  106.31391
18.545253  106.00189
18.561278  105.5598
18.577303  105.02345
18.593328  104.25137
18.609352  103.35891
18.625377  102.93476
18.641402  103.00377
18.657427  102.62783
18.673452  102.18283
18.689476  102.62994
18.705501  103.08216
18.721526  101.89173
18.73755  102.22946
18.753576  103.74229
18.7696  104.21228
18.785625  104.85399
18.80165  103.03426
18.817674  102.80311
18.833699  102.13357
18.849724  100.91085
18.865749  101.32606
18.881773  99.451829
18.897798  98.975573

# Cycle: 0, Curve: 4
#
# NonEnergyOrdinate:            -10.3846
# Acquisition Date:             06/17/24 12:13:43 UTC
# ColumnLabels:                 energy counts/s
#
16.7182  109.66466
16.734229  109.13262
16.750258  108.9171
16.766287  108.84753
16.782316  109.56228
16.798345  109.2765
16.814375  109.24701
16.830404  108.20799
16.846433  107.82573
16.862462  107.75717
16.878491  106.70772
16.89452  106.75156
16.910549  106.0979
16.926578  105.37449
16.942607  104.36278
16.958636  103.37451
16.974665  103.43947
16.990695  102.75021
17.006724  101.95699
17.022753  102.13543
17.038782  100.31525
17.054811  100.57627
17.07084  100.0193
17.086869  99.522467
17.102898  99.048724
17.118927  97.970189
17.134956  97.526009
17.150985  97.544486
17.167014  97.332285
17.183044  96.457194
17.199073  95.98196
17.215102  95.559993
17.231131  95.104186
17.24716  94.287357
17.263189  94.174805
17.279218  93.21627
17.295247  93.051986
17.311276  92.772611
17.327305  92.650521
17.343334  92.40097
17.359364  92.024909
17.375393  92.625983
17.391422  92.484238
17.407451  91.624766
17.42348  91.705202
17.439509  92.191589
17.455538  91.843027
17.471567  92.250872
17.487596  92.513737
17.503625  92.330625
17.519654  92.730007
17.535684  93.006198
17.551713  93.474824
17.567742  93.295124
17.58377  93.507174
17.599792  93.166185
17.615816  94.513249
17.631844  95.054974
17.647865  94.307728
17.663892  95.036868
17.679917  95.866159
17.695939  96.341563
17.711967  95.708535
17.727989  95.183581
17.744014  95.620729
17.76004  95.875814
17.776062  96.065749
17.79209  96.015104
17.808113  95.938613
17.824137  95.517454
17.840164  95.505866
17.856186  95.192754
17.872212  95.676771
17.888237  95.563678
17.90426  96.051829
17.920287  95.721719
17.93631  95.72959
17.952334  95.368066
17.968362  96.769792
17.984386  97.297721
18.00041  96.531829
18.016436  96.982546
18.032461  97.98373
18.048485  97.616875
18.06451  98.482454
18.080534  98.388711
18.096559  99.035293
18.112584  98.595221
18.128609  99.327233
18.144634  98.813587
18.160658  99.637539
18.176683  99.69099
18.192708  100.0832
18.208733  101.20798
18.224758  100.90089
18.240782  101.43763
18.256808  101.63868
18.272832  101.65507
18.288857  100.93469
18.304881  101.65435
18.320906  102.73678
18.336931  102.07186
18.352956  103.13833
18.368981  102.86511
18.385005  103.60461
18.40103  102.96803
18.417055  105.08842
18.43308  105.59951
18.449105  105.41613
18.465129  105.71459
18.481154  105.8148
18.497179  105.91808
18.513204  106.26364
18.529229  105.61611
18.545253  105.31536
18.561278  104.99446
18.577303  104.6982
18.593328  104.32266
18.609352  103.76182
18.625377  103.42868
18.641402  102.86486
18.657427  102.16704
18.673452  101.89429
18.689476  102.12357
18.705501  102.96776
18.721526  102.90798
18.73755  102.77598
18.753576  102.98687
18.7696  103.56492
18.785625  104.10329
18.80165  102.98497
18.817674  102.4187
18.833699  102.20432
18.849724  101.00153
18.865749  99.930234
18.881773  99.526628
18.897798  98.148066

# Cycle: 0, Curve: 5
#
# NonEnergyOrdinate:            -10.0962
# Acquisition Date:             06/17/24 12:13:43 UTC
# ColumnLabels:                 energy counts/s
#
16.7182  111.10099
16.734229  111.62138
16.750258  110.57285
16.766287  110.42324
16.782316  110.08089
16.798345  110.38569
16.814375  108.99153
16.830404  109.45701
16.846433  109.1272
16.862462  108.79089
16.878491  107.1696
16.89452  106.9867
16.910549  106.93993
16.926578  105.17277
16.942607  104.8931
16.958636  104.53029
16.974665  103.08907
16.990695  102.96927
17.006724  102.30681
17.022753  101.79682
17.038782  100.89309
17.054811  100.32594
17.07084  99.760228
17.086869  99.090697
17.102898  99.020182
17.118927  98.130417
17.134956  97.872572
17.150985  97.718789
17.167014  96.910378
17.183044  96.450742
17.199073  96.183763
17.215102  94.989049
17.231131  94.686693
17.24716  94.564349
17.263189  94.342747
17.279218  93.097012
17.295247  93.01931
17.311276  92.701914
17.327305  92.413939
17.343334  92.125273
17.359364  92.002767
17.375393  92.778047
17.391422  92.081113
17.407451  91.797656
17.42348  91.453893
17.439509  91.737793
17.455538  91.843197
17.471567  91.671647
17.487596  91.524896
17.503625  91.921289
17.519654  92.351074
17.535684  92.247884
17.551713  92.987402
17.567742  91.833223
17.58377  93.638763
17.599792  93.847604
17.615816  93.589993
17.631844  94.190397
17.647865  94.471947
17.663892  95.516094
17.679917  95.79679
17.695939  96.147272
17.711967  96.074004
17.727989  95.408717
17.744014  96.151445
17.76004  95.998704
17.776062  96.319681
17.79209  95.334199
17.808113  95.527318
17.824137  95.286406
17.840164  95.622904
17.856186  95.202025
17.872212  94.850475
17.888237  95.921927
17.90426  95.954935
17.920287  96.297552
17.93631  96.053138
17.952334  96.130853
17.968362  95.647793
17.984386  95.384993
18.00041  96.170697
18.016436  96.968184
18.032461  96.44541
18.048485  97.547617
18.06451  98.719818
18.080534  98.246699
18.096559  98.699961
18.112584  98.208151
18.128609  98.325983
18.144634  99.036243
18.160658  97.947734
18.176683  98.650436
18.192708  99.345397
18.208733  99.412083
18.224758  100.4591
18.240782  100.54768
18.256808  100.47031
18.272832  100.35225
18.288857  101.1955
18.304881  100.81803
18.320906  102.15557
18.336931  101.63249
18.352956  101.73792
18.368981  103.15899
18.385005  102.9485
18.40103  103.5665
18.417055  104.60285
18.43308  105.15122
18.449105  104.90474
18.465129  105.71473
18.481154  105.00074
18.497179  104.49913
18.513204  106.02329
18.529229  105.95714
18.545253  106.04034
18.561278  104.81038
18.577303  105.45171
18.593328  104.56226
18.609352  104.35926
18.625377  103.28605
18.641402  103.56547
18.657427  103.22942
18.673452  103.07443
18.689476  103.55202
18.705501  102.73124
18.721526  103.4346
18.73755  102.62973
18.753576  103.00782
18.7696  102.74395
18.785625  103.70178
18.80165  103.06282
18.817674  102.55413
18.833699  102.49306
18.849724  101.62475
18.865749  100.47111
18.881773  99.267454
18.897798  98.158255

# Cycle: 0, Curve: 6
#
# NonEnergyOrdinate:            -9.80769
# Acquisition Date:             06/17/24 12:13:43 UTC
# ColumnLabels:                 energy counts/s
#
16.7182  112.73174
16.734229  112.88078
16.750258  112.32238
16.766287  112.72357
16.782316  111.97046
16.798345  110.44413
16.814375  110.31417
16.830404  110.0594
16.846433  110.77703
16.862462  109.22209
16.878491  108.67275
16.89452  109.43967
16.910549  107.84269
16.926578  106.4836
16.942607  105.40225
16.958636  105.42764
16.974665  104.12632
16.990695  103.16426
17.006724  102.48387
17.022753  101.64882
17.038782  101.54004
17.054811  101.0437
17.07084  99.124173
17.086869  99.822031
17.102898  98.938822
17.118927  98.070234
17.134956  98.536263
17.150985  97.161543
17.167014  96.344388
17.183044  96.386934
17.199073  96.736452
17.215102  94.870221
17.231131  95.029186
17.24716  93.865241
17.263189  93.999596
17.279218  92.951016
17.295247  92.314811
17.311276  92.527207
17.327305  92.640586
17.343334  92.093659
17.359364  91.664727
17.375393  92.679818
17.391422  92.801458
17.407451  92.431126
17.42348  91.640664
17.439509  91.441882
17.455538  92.238464
17.471567  91.887526
17.487596  91.532103
17.503625  91.973405
17.519654  92.925156
17.535684  92.655313
17.551713  93.021139
17.567742  93.432214
17.58377  93.822233
17.599792  93.850404
17.615816  94.030703
17.631844  95.022695
17.647865  94.808314
17.663892  95.247826
17.679917  95.01748
17.695939  96.211829
17.711967  95.762643
17.727989  95.165202
17.744014  95.323027
17.76004  95.648672
17.776062  96.189401
17.79209  96.314577
17.808113  95.987689
17.824137  95.990866
17.840164  95.295794
17.856186  95.659857
17.872212  95.418691
17.888237  95.279303
17.90426  94.595658
17.920287  94.968665
17.93631  95.107096
17.952334  95.726816
17.968362  96.240469
17.984386  95.727845
18.00041  96.3511
18.016436  97.140098
18.032461  96.76584
18.048485  96.629232
18.06451  96.532253
18.080534  96.870254
18.096559  97.155306
18.112584  97.885221
18.128609  97.800534
18.144634  98.293691
18.160658  98.589063
18.176683  98.74515
18.192708  99.494303
18.208733  99.187324
18.224758  99.417448
18.240782  99.746615
18.256808  100.14535
18.272832  100.04002
18.288857  100.56748
18.304881  100.59128
18.320906  101.11098
18.336931  102.47468
18.352956  101.88652
18.368981  101.8368
18.385005  101.84917
18.40103  102.55315
18.417055  103.92502
18.43308  104.06013
18.449105  104.57727
18.465129  105.07469
18.481154  104.86643
18.497179  103.98656
18.513204  104.89212
18.529229  104.98648
18.545253  105.02632
18.561278  104.85934
18.577303  103.99094
18.593328  104.5965
18.609352  103.45471
18.625377  103.27351
18.641402  103.48258
18.657427  103.00718
18.673452  102.69266
18.689476  102.16478
18.705501  102.23465
18.721526  103.72133
18.73755  103.39236
18.753576  103.70612
18.7696  103.57999
18.785625  103.46879
18.80165  101.92755
18.817674  102.34852
18.833699  101.73617
18.849724  100.94719
18.865749  100.22674
18.881773  99.223008
18.897798  98.176621

# Cycle: 0, Curve: 7
#
# NonEnergyOrdinate:            -9.51923
# Acquisition Date:             06/17/24 12:13:43 UTC
# ColumnLabels:                 energy counts/s
#
16.7182  114.91108
16.734229  113.88888
16.750258  114.00091
16.766287  113.30152
16.782316  113.62883
16.798345  112.58138
16.814375  112.05263
16.830404  111.70324
16.846433  111.48337
16.862462  110.55227
16.878491  109.88111
16.89452  109.90578
16.910549  107.46115
16.926578  107.07299
16.942607  105.93764
16.958636  105.32203
16.974665  104.08981
16.990695  103.78241
17.006724  103.25964
17.022753  103.11922
17.038782  101.51677
17.054811  100.6026
17.07084  100.82152
17.086869  100.43143
17.102898  99.639102
17.118927  98.865085
17.134956  98.808477
17.150985  97.313112
17.167014  97.010573
17.183044  96.41263
17.199073  95.22235
17.215102  95.65513
17.231131  94.767865
17.24716  94.098171
17.263189  93.878275
17.279218  93.257663
17.295247  92.969349
17.311276  92.988086
17.327305  92.416536
17.343334  92.537669
17.359364  91.78457
17.375393  91.625417
17.391422  92.199635
17.407451  91.775267
17.42348  91.340293
17.439509  91.51
17.455538  91.745944
17.471567  92.139805
17.487596  91.793893
17.503625  92.665286
17.519654  92.605586
17.535684  92.322656
17.551713  93.523757
17.567742  94.427598
17.58377  93.766979
17.599792  94.559245
17.615816  94.984674
17.631844  95.094121
17.647865  94.703268
17.663892  95.087734
17.679917  95.485605
17.695939  95.889316
17.711967  95.121491
17.727989  95.809935
